PROTOCOL 1,,,,,,,,
"Info: Air 0.5-1 L/min, humidifier, outlet flow 0.1-0.3 L/min, n = 3 flies per well, 4-5 days old",,,,,,,,
"Protocol: 35 min baseline, 20 minute GA with 3 motor pulses, 65 minutes recovery with an initial 6 motor pulses, 120 minute total",,,,,,,,
"Pulses: (1s on, 5s off) x 5, seperated by 5 minutes",,,,,,,,
,,,,,,,,
SESSION,GA,GENOTYPE,N,EXPERIMENTER,NOTES,,Genotype,Numeric code
2021-07-11-15-02-19,0%,w1118 (31+cs) 6x,18,JK,1 L/min air,,w1118 (31+cs) 6x,0
2021-08-28-12-00-05,0%,w1118 (31+cs) 6x,18,JK,Circadian,,HCS,1
2021-08-28-19-00-16,0%,w1118 (31+cs) 6x,18,JK,Circadian,,DL+,2
2021-08-29-12-00-06,0%,w1118 (31+cs) 6x,18,JK,Circadian,,Phinney Ridge,3
2021-08-29-19-00-01,0%,w1118 (31+cs) 6x,18,JK,Circadian,,Top Banana,4
2021-08-30-12-00-01,0%,w1118 (31+cs) 6x,18,JK,Circadian,,SS02255 6x,5
2021-08-30-19-00-02,0%,w1118 (31+cs) 6x,18,JK,Circadian,,TChrimson 6x,6
2021-08-31-12-00-02,0%,w1118 (31+cs) 6x,18,JK,Circadian,,TH-Thcrimson (atr),7
2021-08-31-19-00-02,0%,w1118 (31+cs) 6x,18,JK,Circadian,,TH-Thcrimson,8
2021-08-28-14-14-31,Sevo 0.5%,w1118 (31+cs) 6x,18,JK,,,,
2021-08-31-14-09-27,Sevo 0.5%,w1118 (31+cs) 6x,18,JK,,,,
2021-09-02-13-18-25,Sevo 0.5%,w1118 (31+cs) 6x,18,JK,,,,
2021-07-14-10-35-52,Sevo 1%,w1118 (31+cs) 6x,18,JK+SD,GA onset delayed 200 seconds,,,
2021-07-17-16-13-42,Sevo 1%,w1118 (31+cs) 6x,18,JK,,,,
2021-09-01-13-26-55,Sevo 1%,w1118 (31+cs) 6x,18,JK,,,,
2021-08-28-16-26-23,Sevo 1.5%,w1118 (31+cs) 6x,18,JK,,,Experimenter,
2021-08-29-14-08-55,Sevo 1.5%,w1118 (31+cs) 6x,18,JK,,,JK,74
2021-08-30-14-07-32,Sevo 1.5%,w1118 (31+cs) 6x,18,JK,,,SD,35
2021-07-14-12-46-15,Sevo 2%,w1118 (31+cs) 6x,18,JK+SD,,,RY,21
